open,close,high,low,volume,median_prior,stdv_prior,deep_median,deep_stdv,growth,difference,buy,sell
46.036,45.23,46.241,45.22,32553.51435,47.37367,0.83087,48.11109,1.88826,-0.806,-0.81,0,0
45.224,44.819,45.921,44.501,44706.05176,46.543,0.93198,47.83035,1.74958,-0.405,-0.411,0,0
44.819,45.781,46,44.586,37034.60221,45.73967,0.82122,47.52983,1.60341,0.962,0.962,0,0
45.834,45.262,45.85,45.181,15402.22883,45.31817,0.49889,47.25683,1.41275,-0.572,-0.519,0,0
45.263,45.76,46.126,45.256,31469.05352,45.28983,0.44404,47.02287,1.21017,0.497,0.498,0,0
45.778,45.14,46.223,44.8,33635.26715,45.45317,0.40535,46.82911,1.06475,-0.638,-0.62,0,0
45.14,45.588,46.02,45.14,14686.52331,45.50617,0.31579,46.6857,1.00699,0.448,0.448,0,0
45.587,45.6,46.099,45.3,12667.66551,45.44483,0.29991,46.58283,1.01543,0.013,0.012,0,0
45.628,45.726,46.05,45.52,7709.723886,45.47217,0.26726,46.5095,1.02299,0.098,0.126,0,0
45.725,46,46.06,45.596,7882.15313,45.54483,0.20509,46.46989,1.03058,0.275,0.274,1,0
45.98,47.8,47.89,45.841,39656.58399,45.711,0.15397,46.43922,1.03376,1.82,1.8,0,1
47.66,48.072,48.59,47.119,55806.25122,46.14317,0.82541,46.44796,1.05196,0.412,0.272,0,1
48.072,47.685,48.7,47.42,23758.32032,46.87283,1.07646,46.51054,1.09253,-0.387,-0.387,0,1
47.661,47.5,48.2,47.428,20001.76717,47.54483,0.78772,46.57287,1.1288,-0.161,-0.185,0,0
47.503,47.243,47.999,46.716,21071.00298,47.775,0.23932,46.61546,1.14652,-0.26,-0.257,0,0
47.247,46.696,47.255,46.201,13805.95574,47.61067,0.27565,46.64363,1.15716,-0.551,-0.547,0,0
46.679,47.16,47.669,46.51,20231.96383,47.30833,0.34117,46.6572,1.16057,0.481,0.464,0,0
47.159,47.118,47.399,46.836,10193.64369,47.088,0.33096,46.6457,1.15295,-0.041,-0.042,0,0
47.026,47.765,47.9,47.025,11213.9494,47.00983,0.25326,46.61139,1.12397,0.739,0.647,0,0
47.762,47.52,48.05,47.364,12264.24594,47.15117,0.35118,46.58039,1.09359,-0.242,-0.245,0,0
47.543,47.777,48,47.534,9862.117201,47.39167,0.33339,46.55413,1.05862,0.234,0.257,0,0
47.777,47.371,47.78,47.311,7664.263736,47.5655,0.28871,46.53391,1.02983,-0.406,-0.406,0,0
47.37,48.199,48.299,47.338,13578.97709,47.625,0.17161,46.54011,1.03415,0.829,0.828,0,0
